Belt_Width,Dia,Length_,mapcode_1,Bearing_Type,A_,E_,C_,H_,H1_,H2_,P_,Q_,d_,T_Weight,mapcode_2
400,63.5,160,G101,6203/C4,600,660,464.0,185.0,112.0,242.0,170.0,130.0,M12,9.61,40C114
400,76.0,160,G201,6204/C4,600,660,460.0,195.0,118.0,254.0,170.0,130.0,M12,11.4,40C214
400,89.0,160,G301,6204/C4,600,660,0.0,0.0,0.0,0.0,170.0,130.0,M12,0,40C314
500,63.5,200,G102,6203/C4,740,800,570.0,200.0,119.0,272.0,170.0,130.0,M12,12.5,50C114
500,76.0,200,G202,6204/C4,740,800,567.0,210.0,122.0,281.0,170.0,130.0,M12,14.9,50C214
500,89.0,200,G302,6204/C4,740,800,559.0,220.0,135.5,300.0,170.0,130.0,M12,15.8,50C314
650,76.0,250,G203,6204/C4,890,950,698.0,225.0,122.0,310.0,170.0,130.0,M12,16.6,65C214
650,89.0,250,G303,6204/C4,890,950,691.0,235.0,135.5,329.0,170.0,130.0,M12,17.1,65C314
650,108.0,250,G403,6205/C4,890,950,684.0,265.0,146.0,346.0,170.0,130.0,M12,21.3,65C414
800,89.0,315,G304,6204/C4,1090,1150,862.0,245.0,135.5,366.0,170.0,130.0,M12,22.1,80C314
800,108.0,315,G404,6205/C4,1090,1150,855.0,270.0,146.0,385.0,170.0,130.0,M12,26.7,80C414
800,133.0,315,G504,6305/C4,1090,1150,841.0,305.0,159.5,408.0,170.0,130.0,M12,33.2,80C514
1000,108.0,380,G405,6205/C4,1290,1350,1038.0,300.0,159.0,437.0,220.0,170.0,M16,38.0,100C414
1000,133.0,380,G505,6305/C4,1290,1350,1023.0,325.0,173.5,461.0,220.0,170.0,M16,45.5,100C514
1000,159.0,380,G605,6306/C4,1290,1350,1020.0,370.0,190.5,491.0,220.0,170.0,M16,57.1,100C614
1200,108.0,465,G406,6205/C4,1540,1600,1262.0,335.0,176.0,502.0,260.0,200.0,M16,50.5,120C414
1200,133.0,465,G506,6305/C4,1540,1600,1248.0,360.0,190.5,527.0,260.0,200.0,M16,59.2,120C514
1200,159.0,465,G606,6306/C4,1540,1600,1244.0,390.0,207.5,556.0,260.0,200.0,M16,72.4,120C614
1400,108.0,530,G408,6205/C4,1740,1810,1433.0,350.0,184.0,548.0,280.0,220.0,M16,56.2,140C414
1400,133.0,530,G508,6305/C4,1740,1810,1419.0,380.0,198.5,573.0,280.0,220.0,M16,65.6,140C514
1400,159.0,530,G608,6306/C4,1740,1810,1415.0,410.0,215.5,602.0,280.0,220.0,M16,87.8,140C614
1600,133.0,600,G509,6305/C4,1990,2060,1603.0,430.0,205.0,619.0,300.0,240.0,M16,85.3,160C514
1600,159.0,600,G609,6306/C4,1990,2060,1598.0,460.0,220.0,646.0,300.0,240.0,M16,100.8,160C614
1600,194.0,600,G709,6407/C4,1990,2060,0.0,0.0,0.0,0.0,300.0,240.0,M16,0,160C714
1800,133.0,670,G510,6305/C4,2190,2260,1788.0,455.0,215.0,669.0,300.0,240.0,M16,98.3,180C514
1800,159.0,670,G610,6306/C4,2190,2260,1784.0,485.0,230.0,696.0,300.0,240.0,M16,114.8,180C614
1800,194.0,670,G710,6407/C4,2190,2260,1784.0,525.0,255.0,739.0,300.0,240.0,M16,152.3,180C714
2000,133.0,750,G512,6305/C4,2420,2490,1999.0,460.0,215.0,715.0,300.0,240.0,M16,107.1,200C514
2000,159.0,750,G612,6306/C4,2420,2490,1995.0,500.0,230.0,742.0,300.0,240.0,M16,125.4,200C614
2000,194.0,750,G712,6407/C4,2420,2490,1995.0,540.0,255.0,785.0,300.0,240.0,M16,165.9,200C714
2200,133.0,800,G513,6305/C4,2720,2800,0.0,0.0,0.0,0.0,0.0,0.0,0,0,220C514
2200,159.0,800,G613,6306/C4,2720,2800,0.0,0.0,0.0,0.0,0.0,0.0,0,0,220C614
2200,194.0,800,G713,6407/C4,2720,2800,0.0,0.0,0.0,0.0,0.0,0.0,0,0,220C714
2400,159.0,900,G614,6306/C4,3020,3110,0.0,0.0,0.0,0.0,0.0,0.0,0,0,240C614
2400,194.0,900,G714,6407/C4,3020,3110,0.0,0.0,0.0,0.0,0.0,0.0,0,0,240C714
2400,219.0,900,G814,6408/C4,3020,3110,0.0,0.0,0.0,0.0,0.0,0.0,0,0,240C814
